000001,622831667,小心10分钟后超大卖单！！！,1439,3,03-30,03-30 12:39
000001,592380865,平安银行回应个位数奖金：绩效差的甚至会没有,20428,14,01-20,01-21 23:44
000001,627113265,平安银行行助杨华被免|又一中层“民生系”离场,939,0,04-11,04-11 09:52
000001,629654826,日评,984,0,04-17,04-17 16:06
000001,634475175,中国好声音,875,0,04-27,04-27 09:51
000001,635281645,深交所投资者教育中心发文提醒投资者警惕高送转背后套路,375037,355,04-28,04-29 15:32
000001,630111736,发生什么大事了！把股市兴风作浪搞得一塌糊涂！,983,1,04-18,04-18 14:31
000001,620416979,平安银行是翻倍都低估的股票！,1693,0,03-23,03-23 19:00
000001,621584086,啥时候平安银行开始翻倍上涨。,1342,0,03-27,03-27 16:55
000001,591081465,绝望割肉盘终于涌出,2100,1,01-18,01-18 14:33
000001,596427984,新的一年平安应该在10元以上,14471,9,01-28,02-07 13:17
000001,621002281,冠丰公司是个什么鸟？,1304,0,03-25,03-25 08:50
000001,579548768,被套的底仓随你流氓怎么玩|坚决不加仓不卖。,1720,1,12-15,12-15 12:39
000001,615219935,000001,2895,2,03-08,03-08 22:04
000001,622070235,业绩较差,895,0,03-28,03-28 17:37
000001,581300486,平安银行(000001)融资融券信息(12-20),3746,1,12-21,12-21 13:59
000001,616551978,华南银行理财平均收益率达4.42%监管新政下收益将承压,5637,0,03-13,03-13 09:31
000001,621115299,~~送给有缘人一只翻倍牛股,4452,8,03-25,04-05 17:50
000001,618921952,中国神华股息率高达18.17%平安银行股息率高达1.66%,1926,2,03-20,03-20 13:14
000001,586107518,十年前高点6124点|前期高点3170跌|若这样发展下去再过十年能到几百点呢？增,2256,0,01-07,01-07 15:13
000001,613587422,你的态度将决定|你的深度和广度,2474,0,03-03,03-03 13:44
000001,632664400,经济要发展|提振股市的融资功能以支持实业的发展,867,0,04-23,04-23 18:24
000001,630646801,000059报复性爆发：不信大家可留意！,582,0,04-19,04-19 11:44
000001,622846267,百分之两百不敢砸到8.5元！,1763,4,03-30,03-30 12:37
000001,592751836,平安银行已经在涨势上|严重落后大盘。后面的上涨空间有十元左右。,3158,0,01-21,01-21 21:02
000001,627113083,平安银行?股权投资基金共同服务实体经济高峰论坛召开,730,0,04-11,04-11 09:52
000001,629652669,新股瑞斯康达（603803）股价必上300元,896,0,04-17,04-17 15:59
000001,634471976,中国股市太需要牛市了|现在是哀嚎遍野|中国好声音|,902,0,04-27,04-27 09:47
000001,635254041,保监会：整治资金运用乱象坚决遏制违规投资、激进投资行为,325446,137,04-28,04-29 11:33
000001,630103693,崩下盘更好,898,0,04-18,04-18 14:18
000001,620222245,平安银行营业收入|一六年增长12.01%。因为拨备增加而减少了净利润。一六年坏账,4455,5,03-23,03-23 18:39
000001,549673282,操你麻痹|中石油、中石化、工商银行、农业银行....所有比你大的权重股都比你这垃,4289,0,09-08,09-08 14:58
000001,566548669,这庄苦呀|能压住股价一年是英雄团长|压住二年是师长|压住三年可当军长|压住四年司,3126,1,11-08,11-08 21:35
000001,621574895,估计跌到头了|9.08将载入史册[拜神],1452,0,03-27,03-27 16:30
000001,369227371,庄家出货手法：一高位放量滞涨|二拉高逐波下跌|三高位放量跳水001,15483,11,05-03,01-18 14:12
000001,591912978,9.2元,13811,9,01-19,02-07 13:13
000001,573427471,最标准的深港通受益股.早晚到15倍市盈率.涨到25元,3376,2,11-28,11-28 12:25
